Wavelength,Low MDER,Neutral MDER,High MDER
380,0.00002623,0.00002579,0.00003231
381,0.00003068,0.00002689,0.00004399
382,0.0000278,0.00002457,0.00004302
383,0.0000202,0.00002024,0.00003405
384,0.00001114,0.00001566,0.00002301
385,0.000002043,0.00001151,0.00001219
386,0,0.00001044,0.00001019
387,0,0.00001154,0.00001423
388,0,0.00001314,0.00001921
389,0,0.00001474,0.0000237
390,0,0.00001448,0.00002196
391,0,0.00001284,0.00001563
392,0,0.00001102,0.000008724
393,0,0.000009346,0.000002445
394,0,0.000009147,9.38E-07
395,0,0.00001012,0.000003554
396,0.000001783,0.0000112,0.000007401
397,0.000005257,0.00001206,0.00001177
398,0.000004738,0.0000115,0.0000146
399,7.02E-07,0.000009654,0.0000159
400,0,0.000007562,0.00001702
401,0,0.000005512,0.00001816
402,0,0.00000389,0.0000202
403,0,0.000002944,0.0000231
404,0,0.000002792,0.00002595
405,0,0.00000365,0.00002849
406,0.000001679,0.000006004,0.00002915
407,0.000004269,0.000009997,0.00002801
408,0.000006625,0.00001532,0.00002729
409,0.000008636,0.00002198,0.00002775
410,0.000009479,0.0000299,0.00003055
411,0.000009113,0.00003907,0.00003641
412,0.000008934,0.00004966,0.0000453
413,0.000009437,0.00006174,0.00005767
414,0.00001194,0.00007495,0.00007423
415,0.00001704,0.00008928,0.00009546
416,0.00002322,0.0001059,0.0001212
417,0.00003019,0.0001251,0.0001516
418,0.00003735,0.000148,0.0001861
419,0.0000443,0.000175,0.0002246
420,0.00005165,0.0002056,0.0002695
421,0.00005946,0.0002398,0.000322
422,0.00006759,0.0002774,0.0003829
423,0.00007598,0.0003183,0.0004535
424,0.00008527,0.0003632,0.0005348
425,0.00009573,0.0004124,0.0006276
426,0.000108,0.0004658,0.0007326
427,0.0001228,0.000523,0.0008506
428,0.0001389,0.0005861,0.0009839
429,0.0001562,0.0006559,0.001134
430,0.0001738,0.0007336,0.001303
431,0.0001911,0.0008206,0.001493
432,0.0002095,0.0009163,0.001703
433,0.0002297,0.001021,0.001936
434,0.0002518,0.001135,0.002191
435,0.000276,0.001256,0.002472
436,0.0003034,0.001389,0.002777
437,0.0003345,0.001536,0.003107
438,0.0003703,0.0017,0.003467
439,0.0004121,0.001891,0.003866
440,0.0004589,0.002094,0.004285
441,0.0005106,0.00231,0.004719
442,0.0005677,0.002535,0.005165
443,0.0006312,0.002775,0.00563
444,0.0006992,0.003014,0.006084
445,0.0007712,0.003243,0.006514
446,0.000847,0.003456,0.006906
447,0.0009291,0.003641,0.00724
448,0.001012,0.003798,0.007515
449,0.001093,0.003921,0.00772
450,0.00117,0.004002,0.007842
451,0.001241,0.004017,0.007836
452,0.001304,0.003991,0.007748
453,0.001357,0.003928,0.007584
454,0.001398,0.003833,0.00735
455,0.001418,0.003702,0.007029
456,0.001425,0.003549,0.006661
457,0.001421,0.003383,0.00626
458,0.001405,0.00321,0.005842
459,0.001378,0.003049,0.005442
460,0.001342,0.002892,0.005047
461,0.001301,0.002741,0.004664
462,0.001257,0.002597,0.0043
463,0.001216,0.002473,0.003984
464,0.001175,0.002359,0.003694
465,0.001135,0.002253,0.003428
466,0.001097,0.002154,0.003184
467,0.001063,0.002059,0.002962
468,0.001033,0.001968,0.002759
469,0.001004,0.001883,0.002573
470,0.0009775,0.001802,0.002403
471,0.0009508,0.001722,0.00224
472,0.0009251,0.001648,0.00209
473,0.0009008,0.001579,0.001954
474,0.000878,0.001519,0.001832
475,0.0008564,0.00147,0.001729
476,0.0008365,0.001431,0.001641
477,0.0008188,0.001401,0.001567
478,0.0008035,0.001379,0.001506
479,0.0007908,0.001367,0.001458
480,0.0007811,0.001363,0.001423
481,0.0007749,0.001367,0.001398
482,0.0007727,0.001378,0.001383
483,0.0007767,0.001394,0.001376
484,0.0007853,0.001415,0.001377
485,0.0007976,0.001441,0.001386
486,0.0008129,0.001472,0.001402
487,0.0008301,0.001505,0.001424
488,0.0008494,0.001541,0.001452
489,0.0008709,0.00158,0.001486
490,0.0008947,0.001622,0.001526
491,0.0009203,0.001667,0.001571
492,0.0009478,0.001715,0.001621
493,0.0009774,0.001765,0.001676
494,0.001009,0.001817,0.001735
495,0.001043,0.001873,0.0018
496,0.001079,0.001931,0.00187
497,0.001118,0.001991,0.001943
498,0.001158,0.00205,0.002021
499,0.001202,0.002107,0.002102
500,0.001248,0.002162,0.002185
501,0.001296,0.002216,0.002272
502,0.001346,0.002268,0.002362
503,0.001398,0.002317,0.002455
504,0.001452,0.002363,0.002551
505,0.001508,0.002408,0.002649
506,0.001564,0.002451,0.00275
507,0.001623,0.002495,0.002854
508,0.001683,0.002538,0.002961
509,0.001743,0.00258,0.003068
510,0.001804,0.002621,0.003177
511,0.001863,0.002659,0.003285
512,0.001921,0.002695,0.003393
513,0.001979,0.002729,0.0035
514,0.002037,0.002761,0.003605
515,0.002096,0.002791,0.00371
516,0.002156,0.002817,0.003812
517,0.002215,0.002843,0.003912
518,0.002271,0.002868,0.004007
519,0.002322,0.002896,0.004097
520,0.002368,0.002927,0.004182
521,0.00241,0.002959,0.004259
522,0.002447,0.002989,0.004328
523,0.002479,0.003017,0.004388
524,0.002506,0.003041,0.004436
525,0.002529,0.003063,0.004475
526,0.002546,0.003085,0.004503
527,0.002559,0.003108,0.004519
528,0.002566,0.003132,0.004524
529,0.002568,0.003157,0.004519
530,0.002566,0.003181,0.004505
531,0.002559,0.003204,0.004482
532,0.002548,0.003225,0.00445
533,0.002533,0.003245,0.004412
534,0.002517,0.003264,0.004368
535,0.002499,0.003283,0.004317
536,0.002481,0.003302,0.004261
537,0.002463,0.003321,0.004201
538,0.002444,0.00334,0.004141
539,0.002424,0.00336,0.004081
540,0.002402,0.003381,0.004025
541,0.00238,0.003403,0.003971
542,0.00236,0.003426,0.003918
543,0.002344,0.003449,0.003867
544,0.002335,0.003473,0.003818
545,0.002329,0.003497,0.003771
546,0.002325,0.003522,0.003726
547,0.002323,0.003545,0.003682
548,0.00232,0.003568,0.00364
549,0.002319,0.003591,0.0036
550,0.002319,0.003613,0.003563
551,0.002319,0.003636,0.00353
552,0.00232,0.003659,0.003504
553,0.002323,0.003682,0.003481
554,0.002328,0.003706,0.003461
555,0.002336,0.003731,0.003441
556,0.00235,0.003758,0.00342
557,0.002366,0.003785,0.0034
558,0.002385,0.003812,0.003382
559,0.002405,0.003839,0.003366
560,0.002423,0.003862,0.003354
561,0.002443,0.003885,0.003343
562,0.002464,0.003907,0.003335
563,0.002487,0.00393,0.003327
564,0.002512,0.003956,0.003318
565,0.002539,0.003981,0.00331
566,0.002568,0.004007,0.003303
567,0.002596,0.004032,0.003299
568,0.002623,0.004056,0.003299
569,0.00265,0.004079,0.0033
570,0.002679,0.004101,0.003304
571,0.002711,0.004123,0.003309
572,0.002749,0.004144,0.003314
573,0.002789,0.004165,0.00332
574,0.002829,0.004185,0.003326
575,0.002869,0.004206,0.003332
576,0.002904,0.004227,0.003339
577,0.002937,0.004247,0.003344
