Wavelength,Low,Medium,High
380nm,0.00E+00,3.33E-05,0.00E+00
381nm,9.87E-06,2.46E-05,0.00E+00
382nm,1.34E-05,1.75E-05,0.00E+00
383nm,9.18E-06,1.15E-05,0.00E+00
384nm,2.79E-06,6.32E-06,0.00E+00
385nm,0.00E+00,2.03E-06,7.61E-06
386nm,0.00E+00,0.00E+00,1.36E-05
387nm,1.62E-06,0.00E+00,1.61E-05
388nm,7.08E-06,0.00E+00,1.76E-05
389nm,1.17E-05,0.00E+00,1.87E-05
390nm,1.10E-05,0.00E+00,2.21E-05
391nm,6.17E-06,0.00E+00,2.68E-05
392nm,2.59E-07,0.00E+00,3.06E-05
393nm,0.00E+00,0.00E+00,3.28E-05
394nm,0.00E+00,0.00E+00,2.89E-05
395nm,0.00E+00,0.00E+00,2.06E-05
396nm,0.00E+00,0.00E+00,1.18E-05
397nm,0.00E+00,0.00E+00,4.01E-06
398nm,0.00E+00,0.00E+00,2.86E-06
399nm,0.00E+00,0.00E+00,7.67E-06
400nm,0.00E+00,0.00E+00,1.37E-05
401nm,0.00E+00,0.00E+00,1.95E-05
402nm,0.00E+00,0.00E+00,2.06E-05
403nm,0.00E+00,0.00E+00,1.70E-05
404nm,0.00E+00,0.00E+00,1.27E-05
405nm,0.00E+00,1.65E-06,8.85E-06
406nm,1.02E-06,4.23E-06,8.16E-06
407nm,5.09E-07,7.03E-06,1.12E-05
408nm,0.00E+00,1.01E-05,1.54E-05
409nm,0.00E+00,1.35E-05,2.04E-05
410nm,0.00E+00,1.69E-05,2.45E-05
411nm,5.42E-07,2.04E-05,2.74E-05
412nm,2.49E-06,2.46E-05,3.09E-05
413nm,4.70E-06,2.97E-05,3.55E-05
414nm,6.73E-06,3.63E-05,4.17E-05
415nm,8.39E-06,4.46E-05,4.98E-05
416nm,1.03E-05,5.43E-05,6.03E-05
417nm,1.24E-05,6.53E-05,7.37E-05
418nm,1.53E-05,7.76E-05,9.10E-05
419nm,1.89E-05,9.10E-05,1.13E-04
420nm,2.30E-05,1.06E-04,1.38E-04
421nm,2.75E-05,1.22E-04,1.67E-04
422nm,3.22E-05,1.41E-04,1.98E-04
423nm,3.71E-05,1.60E-04,2.29E-04
424nm,4.24E-05,1.82E-04,2.65E-04
425nm,4.83E-05,2.06E-04,3.06E-04
426nm,5.49E-05,2.33E-04,3.56E-04
427nm,6.24E-05,2.64E-04,4.16E-04
428nm,7.05E-05,2.97E-04,4.84E-04
429nm,7.93E-05,3.34E-04,5.61E-04
430nm,8.83E-05,3.74E-04,6.46E-04
431nm,9.73E-05,4.16E-04,7.39E-04
432nm,1.07E-04,4.63E-04,8.42E-04
433nm,1.19E-04,5.14E-04,9.56E-04
434nm,1.31E-04,5.70E-04,1.08E-03
435nm,1.47E-04,6.32E-04,1.23E-03
436nm,1.64E-04,7.00E-04,1.38E-03
437nm,1.83E-04,7.75E-04,1.55E-03
438nm,2.03E-04,8.58E-04,1.74E-03
439nm,2.24E-04,9.54E-04,1.94E-03
440nm,2.47E-04,1.06E-03,2.15E-03
441nm,2.72E-04,1.17E-03,2.37E-03
442nm,2.99E-04,1.28E-03,2.60E-03
443nm,3.32E-04,1.41E-03,2.85E-03
444nm,3.67E-04,1.53E-03,3.09E-03
445nm,4.04E-04,1.66E-03,3.32E-03
446nm,4.44E-04,1.77E-03,3.53E-03
447nm,4.88E-04,1.87E-03,3.71E-03
448nm,5.32E-04,1.96E-03,3.87E-03
449nm,5.75E-04,2.03E-03,3.98E-03
450nm,6.17E-04,2.08E-03,4.06E-03
451nm,6.55E-04,2.09E-03,4.07E-03
452nm,6.89E-04,2.09E-03,4.03E-03
453nm,7.18E-04,2.06E-03,3.96E-03
454nm,7.41E-04,2.01E-03,3.85E-03
455nm,7.53E-04,1.94E-03,3.69E-03
456nm,7.58E-04,1.87E-03,3.50E-03
457nm,7.58E-04,1.78E-03,3.29E-03
458nm,7.52E-04,1.69E-03,3.08E-03
459nm,7.40E-04,1.61E-03,2.87E-03
460nm,7.25E-04,1.52E-03,2.66E-03
461nm,7.07E-04,1.45E-03,2.46E-03
462nm,6.86E-04,1.37E-03,2.27E-03
463nm,6.66E-04,1.31E-03,2.11E-03
464nm,6.44E-04,1.25E-03,1.96E-03
465nm,6.22E-04,1.19E-03,1.82E-03
466nm,6.01E-04,1.14E-03,1.69E-03
467nm,5.80E-04,1.09E-03,1.57E-03
468nm,5.61E-04,1.04E-03,1.46E-03
469nm,5.43E-04,9.94E-04,1.37E-03
470nm,5.26E-04,9.52E-04,1.28E-03
471nm,5.10E-04,9.14E-04,1.19E-03
472nm,4.97E-04,8.79E-04,1.11E-03
473nm,4.85E-04,8.48E-04,1.04E-03
474nm,4.74E-04,8.20E-04,9.75E-04
475nm,4.65E-04,7.96E-04,9.23E-04
476nm,4.58E-04,7.74E-04,8.79E-04
477nm,4.52E-04,7.57E-04,8.42E-04
478nm,4.46E-04,7.43E-04,8.12E-04
479nm,4.40E-04,7.34E-04,7.87E-04
480nm,4.35E-04,7.29E-04,7.67E-04
481nm,4.30E-04,7.28E-04,7.53E-04
482nm,4.28E-04,7.31E-04,7.43E-04
483nm,4.29E-04,7.38E-04,7.38E-04
484nm,4.34E-04,7.49E-04,7.37E-04
485nm,4.40E-04,7.64E-04,7.40E-04
486nm,4.48E-04,7.80E-04,7.47E-04
487nm,4.56E-04,7.98E-04,7.58E-04
488nm,4.66E-04,8.18E-04,7.72E-04
489nm,4.76E-04,8.39E-04,7.89E-04
490nm,4.89E-04,8.62E-04,8.09E-04
491nm,5.03E-04,8.88E-04,8.31E-04
492nm,5.19E-04,9.15E-04,8.56E-04
493nm,5.37E-04,9.44E-04,8.84E-04
494nm,5.55E-04,9.73E-04,9.14E-04
495nm,5.73E-04,1.00E-03,9.48E-04
496nm,5.92E-04,1.03E-03,9.85E-04
497nm,6.11E-04,1.06E-03,1.02E-03
498nm,6.31E-04,1.09E-03,1.07E-03
499nm,6.51E-04,1.12E-03,1.11E-03
500nm,6.71E-04,1.15E-03,1.15E-03
501nm,6.92E-04,1.18E-03,1.19E-03
502nm,7.15E-04,1.20E-03,1.24E-03
503nm,7.42E-04,1.23E-03,1.29E-03
504nm,7.73E-04,1.26E-03,1.34E-03
505nm,8.06E-04,1.28E-03,1.39E-03
506nm,8.39E-04,1.31E-03,1.44E-03
507nm,8.71E-04,1.33E-03,1.49E-03
508nm,9.03E-04,1.35E-03,1.55E-03
509nm,9.35E-04,1.37E-03,1.60E-03
510nm,9.68E-04,1.39E-03,1.66E-03
511nm,1.00E-03,1.41E-03,1.71E-03
512nm,1.04E-03,1.43E-03,1.77E-03
513nm,1.07E-03,1.45E-03,1.83E-03
514nm,1.11E-03,1.47E-03,1.88E-03
515nm,1.14E-03,1.48E-03,1.94E-03
516nm,1.17E-03,1.50E-03,1.99E-03
517nm,1.20E-03,1.51E-03,2.05E-03
518nm,1.23E-03,1.53E-03,2.10E-03
519nm,1.26E-03,1.54E-03,2.15E-03
520nm,1.28E-03,1.56E-03,2.20E-03
521nm,1.31E-03,1.57E-03,2.24E-03
522nm,1.33E-03,1.59E-03,2.28E-03
523nm,1.35E-03,1.60E-03,2.31E-03
524nm,1.37E-03,1.61E-03,2.34E-03
525nm,1.39E-03,1.63E-03,2.37E-03
526nm,1.40E-03,1.64E-03,2.38E-03
527nm,1.41E-03,1.65E-03,2.39E-03
528nm,1.41E-03,1.66E-03,2.40E-03
529nm,1.42E-03,1.68E-03,2.40E-03
530nm,1.41E-03,1.69E-03,2.39E-03
531nm,1.41E-03,1.70E-03,2.38E-03
532nm,1.40E-03,1.72E-03,2.36E-03
533nm,1.40E-03,1.73E-03,2.34E-03
534nm,1.39E-03,1.74E-03,2.32E-03
535nm,1.38E-03,1.75E-03,2.30E-03
536nm,1.37E-03,1.76E-03,2.27E-03
537nm,1.36E-03,1.78E-03,2.24E-03
538nm,1.35E-03,1.79E-03,2.21E-03
539nm,1.34E-03,1.80E-03,2.18E-03
540nm,1.32E-03,1.81E-03,2.15E-03
541nm,1.31E-03,1.82E-03,2.12E-03
542nm,1.30E-03,1.83E-03,2.08E-03
543nm,1.29E-03,1.85E-03,2.05E-03
544nm,1.28E-03,1.86E-03,2.03E-03
545nm,1.28E-03,1.87E-03,2.01E-03
546nm,1.27E-03,1.89E-03,1.99E-03
547nm,1.27E-03,1.90E-03,1.97E-03
548nm,1.27E-03,1.91E-03,1.94E-03
549nm,1.26E-03,1.92E-03,1.92E-03
550nm,1.26E-03,1.94E-03,1.90E-03
551nm,1.27E-03,1.95E-03,1.89E-03
552nm,1.27E-03,1.96E-03,1.87E-03
553nm,1.27E-03,1.97E-03,1.86E-03
554nm,1.27E-03,1.98E-03,1.85E-03
555nm,1.28E-03,1.99E-03,1.84E-03
556nm,1.28E-03,2.00E-03,1.82E-03
557nm,1.29E-03,2.02E-03,1.81E-03
558nm,1.30E-03,2.03E-03,1.80E-03
559nm,1.31E-03,2.05E-03,1.79E-03
560nm,1.32E-03,2.06E-03,1.79E-03
561nm,1.33E-03,2.08E-03,1.78E-03
562nm,1.34E-03,2.09E-03,1.78E-03
563nm,1.36E-03,2.10E-03,1.77E-03
564nm,1.37E-03,2.11E-03,1.77E-03
565nm,1.38E-03,2.12E-03,1.76E-03
566nm,1.39E-03,2.13E-03,1.76E-03
567nm,1.40E-03,2.14E-03,1.76E-03
568nm,1.41E-03,2.16E-03,1.75E-03
569nm,1.43E-03,2.17E-03,1.75E-03
570nm,1.44E-03,2.19E-03,1.75E-03
571nm,1.46E-03,2.20E-03,1.75E-03
572nm,1.48E-03,2.21E-03,1.75E-03
573nm,1.50E-03,2.22E-03,1.75E-03
574nm,1.52E-03,2.23E-03,1.76E-03
575nm,1.54E-03,2.24E-03,1.76E-03
576nm,1.56E-03,2.25E-03,1.76E-03
577nm,1.58E-03,2.26E-03,1.77E-03
578nm,1.61E-03,2.27E-03,1.77E-03
579nm,1.63E-03,2.28E-03,1.77E-03
580nm,1.65E-03,2.29E-03,1.77E-03
581nm,1.68E-03,2.30E-03,1.77E-03
582nm,1.70E-03,2.31E-03,1.77E-03
583nm,1.72E-03,2.32E-03,1.77E-03
584nm,1.74E-03,2.33E-03,1.77E-03
585nm,1.77E-03,2.34E-03,1.78E-03
586nm,1.79E-03,2.35E-03,1.78E-03
