Wavelength,Low,Medium,High
380nm,2.623E-05,2.579E-05,3.231E-05
381nm,3.068E-05,2.689E-05,4.399E-05
382nm,2.780E-05,2.457E-05,4.302E-05
383nm,2.020E-05,2.024E-05,3.405E-05
384nm,1.114E-05,1.566E-05,2.301E-05
385nm,2.043E-06,1.151E-05,1.219E-05
386nm,0.000E+00,1.044E-05,1.019E-05
387nm,0.000E+00,1.154E-05,1.423E-05
388nm,0.000E+00,1.314E-05,1.921E-05
389nm,0.000E+00,1.474E-05,2.370E-05
390nm,0.000E+00,1.448E-05,2.196E-05
391nm,0.000E+00,1.284E-05,1.563E-05
392nm,0.000E+00,1.102E-05,8.724E-06
393nm,0.000E+00,9.346E-06,2.445E-06
394nm,0.000E+00,9.147E-06,9.376E-07
395nm,0.000E+00,1.012E-05,3.554E-06
396nm,1.783E-06,1.120E-05,7.401E-06
397nm,5.257E-06,1.206E-05,1.177E-05
398nm,4.738E-06,1.150E-05,1.460E-05
399nm,7.016E-07,9.654E-06,1.590E-05
400nm,0.000E+00,7.562E-06,1.702E-05
401nm,0.000E+00,5.512E-06,1.816E-05
402nm,0.000E+00,3.890E-06,2.020E-05
403nm,0.000E+00,2.944E-06,2.310E-05
404nm,0.000E+00,2.792E-06,2.595E-05
405nm,0.000E+00,3.650E-06,2.849E-05
406nm,1.679E-06,6.004E-06,2.915E-05
407nm,4.269E-06,9.997E-06,2.801E-05
408nm,6.625E-06,1.532E-05,2.729E-05
409nm,8.636E-06,2.198E-05,2.775E-05
410nm,9.479E-06,2.990E-05,3.055E-05
411nm,9.113E-06,3.907E-05,3.641E-05
412nm,8.934E-06,4.966E-05,4.530E-05
413nm,9.437E-06,6.174E-05,5.767E-05
414nm,1.194E-05,7.495E-05,7.423E-05
415nm,1.704E-05,8.928E-05,9.546E-05
416nm,2.322E-05,1.059E-04,1.212E-04
417nm,3.019E-05,1.251E-04,1.516E-04
418nm,3.735E-05,1.480E-04,1.861E-04
419nm,4.430E-05,1.750E-04,2.246E-04
420nm,5.165E-05,2.056E-04,2.695E-04
421nm,5.946E-05,2.398E-04,3.220E-04
422nm,6.759E-05,2.774E-04,3.829E-04
423nm,7.598E-05,3.183E-04,4.535E-04
424nm,8.527E-05,3.632E-04,5.348E-04
425nm,9.573E-05,4.124E-04,6.276E-04
426nm,1.080E-04,4.658E-04,7.326E-04
427nm,1.228E-04,5.230E-04,8.506E-04
428nm,1.389E-04,5.861E-04,9.839E-04
429nm,1.562E-04,6.559E-04,1.134E-03
