BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,79.29378545295913,79.7984118561726,79.7984118561726,None,None,1,79.7984118561726,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,2,three.wav,T,v,0,1,1,1,81.70268853963353,82.21504050586373,82.21504050586373,None,None,0,82.21504050586373,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,3,three.wav,T,v,0,2,2,2,84.2139052839484,84.7221379224211,84.7221379224211,None,n,0,84.7221379224211,None,1.5159363209968433,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,4,two.wav,NT,n,0,3,3,3,86.7008969092276,87.21035338484216,87.21035338484216,None,None,0,87.21035338484216,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,5,seven.wav,NT,n,0,4,4,4,89.23316357878502,89.72568508074619,89.72568508074619,None,None,0,89.72568508074619,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,6,three.wav,NT,n,0,5,5,5,91.70796934573445,92.21757788932882,92.21757788932882,None,None,0,92.21757788932882,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,7,four.wav,NT,n,0,6,6,6,94.1973488391377,94.70313343871385,94.70313343871385,None,None,0,94.70313343871385,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,8,four.wav,T,v,0,7,7,7,96.7036698703887,97.19005067110993,97.21561413398013,None,n,0,97.21561413398013,None,1.2464817418949679,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,9,six.wav,NT,n,0,8,8,8,99.19272079481743,99.68133520777337,99.70801274164114,None,None,0,99.70801274164114,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,10,six.wav,T,v,0,9,9,9,101.69037650502287,102.18096488399897,102.20732296572533,None,n,0,102.20732296572533,None,1.142682413221337,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,11,three.wav,NT,n,0,10,10,10,104.18661218474153,104.69055774668232,104.69055774668232,None,None,0,104.69055774668232,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,12,three.wav,T,v,0,11,11,11,106.69049684656784,107.19564837659709,107.19564837659709,None,None,0,107.19564837659709,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,13,seven.wav,NT,n,0,12,12,12,109.19947961403523,109.70513220247813,109.70513220247813,None,None,0,109.70513220247813,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,14,nine.wav,NT,n,0,13,13,13,111.70816298620775,112.21912373125087,112.21912373125087,None,None,0,112.21912373125087,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,15,five.wav,NT,n,0,14,14,14,114.20261688181199,114.71121200360358,114.71121200360358,None,None,0,114.71121200360358,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,16,five.wav,T,v,0,15,15,15,116.71688410197385,117.22616845264565,117.22616845264565,None,None,0,117.22616845264565,None,,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,17,nine.wav,NT,n,0,16,16,16,119.20349902182352,119.71804448624607,119.71804448624607,None,v,0,119.71804448624607,None,1.5443850638112053,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,18,eight.wav,NT,n,0,17,17,17,121.70050269947387,122.19443766761106,122.21761836775113,None,v,0,122.21761836775113,None,1.6123503252165392,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,19,two.wav,NT,n,0,18,18,18,124.19435196986888,124.70524561533239,124.70524561533239,None,v,0,124.70524561533239,None,1.5566365630365908,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,20,two.wav,T,v,0,19,19,19,126.68278040038422,127.19575376657303,127.19575376657303,None,n,0,127.19575376657303,None,1.1942330870078877,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,21,nine.wav,NT,n,0,20,20,20,129.2002727742074,129.69457970710937,129.72023069113493,None,v,0,129.72023069113493,None,1.389981018844992,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
1,22,three.wav,NT,n,0,21,21,21,131.69972376141232,132.21261471195612,132.21261471195612,None,v,0,132.21261471195612,None,1.6173816960072145,m,25,002,maldives,2019_Jul_18_1658,PRACTICE_OneBack_Digits,3.1.2,59.88423640616019,
