BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,two.wav,None,None,0,0,0,0,,,,,,,,,25.58141968853306,26.071489497669972,26.0929602694232,None,None,1,26.0929602694232,None,,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,2,five.wav,NT,n,0,1,1,1,,,,,,,,,27.999314052634872,28.50886972574517,28.50886972574517,None,n,1,28.50886972574517,None,0.6256335712969303,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,3,eight.wav,NT,n,0,2,2,2,,,,,,,,,30.50819107191637,30.996453568339348,31.020175093435682,None,n,1,31.020175093435682,None,0.5144287801813334,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,4,eight.wav,T,v,0,3,3,3,,,,,,,,,32.99612354056444,33.48555189219769,33.50644137733616,None,v,1,33.50644137733616,None,0.6598127848701552,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,5,seven.wav,NT,n,0,4,4,4,,,,,,,,,35.50554100307636,35.9955995073542,36.01982318528462,None,n,1,36.01982318528462,None,0.5541433444013819,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,6,one.wav,NT,n,0,5,5,5,,,,,,,,,38.00414631643798,38.495239758864045,38.5203608936863,None,n,1,38.5203608936863,None,0.494110006140545,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,7,one.wav,T,v,0,6,6,6,,,,,,,,,40.49426936765667,40.98376080754679,41.00436511950102,None,n,0,41.00436511950102,None,0.4982297015376389,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,8,one.wav,T,v,0,7,7,7,,,,,,,,,43.004411068046466,43.493069597985595,43.51798359921668,None,v,1,43.51798359921668,None,0.6322126123122871,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,9,one.wav,T,v,0,8,8,8,,,,,,,,,45.50259336235467,45.992223742068745,46.016816103016026,None,v,1,46.016816103016026,None,0.5733152261236683,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
1,10,four.wav,NT,n,0,9,9,9,,,,,,,,,48.012497661518864,48.507248395704664,48.5315041646827,None,n,1,48.5315041646827,None,0.5306325996061787,,,,,,,,,,,,,,,,,,,,,m,22,007,indian,2019_Sep_18_1549,OneBack_Digits,3.1.2,59.88981662337555,
