106.3331 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000001AA31D68>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000000001AB44048>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
106.3333 	EXP 	window1: recordFrameIntervals = False
106.4981 	EXP 	window1: recordFrameIntervals = True
106.6819 	EXP 	window1: recordFrameIntervals = False
106.8119 	EXP 	Created Background_1 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_1', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
106.8300 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.1295 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
107.1344 	EXP 	Created Background_2 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_2', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
107.1510 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.1642 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='default text', units='norm', win=Window(...), wrapWidth=1.5)
107.1690 	EXP 	Created Background_3 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_3', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
107.1847 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.1894 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='+', units='norm', win=Window(...), wrapWidth=1)
107.1978 	EXP 	Sound Stimulus set volume 1.000
107.2019 	EXP 	Created Background_4 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_4', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
107.2162 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.2226 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
107.2273 	EXP 	Created Background_5 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
107.2431 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.2524 	EXP 	Created BreakMsg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='BreakMsg', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='Take a break!', units='norm', win=Window(...), wrapWidth=1)
107.2560 	EXP 	Created Background_6 = EnvelopeGrating(__class__=type(...), autoDraw=False, autoLog=True, blendmode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', contrast=0.5, depth=0.0, interpolate=True, mask='none', maskParams=None, name='Background_6', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([20., 20.]), tex='sin', texRes=128, units='norm', win=Window(...))
107.2712 	WARNING 	Envelope grating in use with no gamma set. Unless you have hardware gamma correction the image will be distorted.
107.2883 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.12, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
107.3328 	EXP 	Background_1: interpolate = True
107.3328 	EXP 	Background_1: texRes = 128
107.3328 	EXP 	Background_1: mask = None
107.3328 	EXP 	Background_1: envelope = 'sin'
107.3328 	EXP 	Background_1: carrier = None
107.3328 	EXP 	Background_1: envsf = array([1., 1.])
107.3328 	EXP 	Background_1: envphase = array([0., 0.])
107.3328 	EXP 	Background_1: envori = 0.0
107.3328 	EXP 	Background_1: moddepth = 1.0
107.3328 	EXP 	Background_1: power = 1.0
107.3328 	EXP 	Background_1: beat = False
107.3328 	EXP 	Background_1: blendmode = 'avg'
107.3328 	EXP 	Background_2: interpolate = True
107.3328 	EXP 	Background_2: texRes = 128
107.3328 	EXP 	Background_2: mask = None
107.3328 	EXP 	Background_2: envelope = 'sin'
107.3328 	EXP 	Background_2: carrier = None
107.3328 	EXP 	Background_2: envsf = array([1., 1.])
107.3328 	EXP 	Background_2: envphase = array([0., 0.])
107.3328 	EXP 	Background_2: envori = 0.0
107.3328 	EXP 	Background_2: moddepth = 1.0
107.3328 	EXP 	Background_2: power = 1.0
107.3328 	EXP 	Background_2: beat = False
107.3328 	EXP 	Background_2: blendmode = 'avg'
107.3328 	EXP 	Background_3: interpolate = True
107.3328 	EXP 	Background_3: texRes = 128
107.3328 	EXP 	Background_3: mask = None
107.3328 	EXP 	Background_3: envelope = 'sin'
107.3328 	EXP 	Background_3: carrier = None
107.3328 	EXP 	Background_3: envsf = array([1., 1.])
107.3328 	EXP 	Background_3: envphase = array([0., 0.])
107.3328 	EXP 	Background_3: envori = 0.0
107.3328 	EXP 	Background_3: moddepth = 1.0
107.3328 	EXP 	Background_3: power = 1.0
107.3328 	EXP 	Background_3: beat = False
107.3328 	EXP 	Background_3: blendmode = 'avg'
107.3328 	EXP 	Background_4: interpolate = True
107.3328 	EXP 	Background_4: texRes = 128
107.3328 	EXP 	Background_4: mask = None
107.3328 	EXP 	Background_4: envelope = 'sin'
107.3328 	EXP 	Background_4: carrier = None
107.3328 	EXP 	Background_4: envsf = array([1., 1.])
107.3328 	EXP 	Background_4: envphase = array([0., 0.])
107.3328 	EXP 	Background_4: envori = 0.0
107.3328 	EXP 	Background_4: moddepth = 1.0
107.3328 	EXP 	Background_4: power = 1.0
107.3328 	EXP 	Background_4: beat = False
107.3328 	EXP 	Background_4: blendmode = 'avg'
107.3328 	EXP 	Background_5: interpolate = True
107.3328 	EXP 	Background_5: texRes = 128
107.3328 	EXP 	Background_5: mask = None
107.3328 	EXP 	Background_5: envelope = 'sin'
107.3328 	EXP 	Background_5: carrier = None
107.3328 	EXP 	Background_5: envsf = array([1., 1.])
107.3328 	EXP 	Background_5: envphase = array([0., 0.])
107.3328 	EXP 	Background_5: envori = 0.0
107.3328 	EXP 	Background_5: moddepth = 1.0
107.3328 	EXP 	Background_5: power = 1.0
107.3328 	EXP 	Background_5: beat = False
107.3328 	EXP 	Background_5: blendmode = 'avg'
107.3328 	EXP 	Background_6: interpolate = True
107.3328 	EXP 	Background_6: texRes = 128
107.3328 	EXP 	Background_6: mask = None
107.3328 	EXP 	Background_6: envelope = 'sin'
107.3328 	EXP 	Background_6: carrier = None
107.3328 	EXP 	Background_6: envsf = array([1., 1.])
107.3328 	EXP 	Background_6: envphase = array([0., 0.])
107.3328 	EXP 	Background_6: envori = 0.0
107.3328 	EXP 	Background_6: moddepth = 1.0
107.3328 	EXP 	Background_6: power = 1.0
107.3328 	EXP 	Background_6: beat = False
107.3328 	EXP 	Background_6: blendmode = 'avg'
107.3328 	EXP 	Background_1: autoDraw = True
107.3328 	EXP 	text_2: autoDraw = True
116.2517 	DATA 	Keypress: return
117.6250 	DATA 	Keypress: space
117.6317 	EXP 	Background_1: autoDraw = False
117.6317 	EXP 	text_2: autoDraw = False
117.6317 	EXP 	text: text = 'You will hear numbers read aloud, one number at a time.\n\nWhen the number heard matches the last number presented, press the V key.\n\nWhen the number heard does NOT match the last number presented, press the N key.\n\nPlease try to respond as accurately and as fast as possible.\n\nYou can start responding at the SECOND number you hear onwards. \n\nPress SPACEBAR to begin.'
117.6317 	EXP 	Background_2: autoDraw = True
117.6317 	EXP 	text: autoDraw = True
118.2413 	EXP 	Imported OneBackCond-practice.xlsx as conditions, 22 conditions, 5 params
118.2418 	EXP 	Created sequence: sequential, trialTypes=22, nReps=1, seed=None
118.2422 	EXP 	New trial (rep=0, index=0): OrderedDict([('BlockNum', 1), ('TrialNum', 1), ('Stim', 'three.wav'), ('Target', None), ('CorrAns', None)])
118.2597 	DATA 	Keypress: space
118.2658 	EXP 	Background_2: autoDraw = False
118.2658 	EXP 	text: autoDraw = False
118.2658 	EXP 	Background_3: autoDraw = True
118.2658 	EXP 	Fixation: autoDraw = True
118.7652 	EXP 	Fixation: autoDraw = False
120.7037 	EXP 	New trial (rep=0, index=1): OrderedDict([('BlockNum', 1), ('TrialNum', 2), ('Stim', 'three.wav'), ('Target', 'T'), ('CorrAns', 'v')])
120.7166 	EXP 	Background_3: autoDraw = False
120.7166 	EXP 	Fixation: autoDraw = False
120.7166 	EXP 	Background_3: autoDraw = True
120.7166 	EXP 	Fixation: autoDraw = True
121.2178 	EXP 	Fixation: autoDraw = False
