BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,68.29196454910561,68.80419258377515,68.7874982429552,None,None,1,68.78743590350496,None,,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,2,three.wav,T,v,0,1,1,1,70.75435048510553,71.25429492845433,71.23772955037421,None,v,1,71.23763642052654,73.23761544731678,1.461618852976244,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,3,three.wav,T,v,0,2,2,2,73.25431143929018,73.75440938852262,73.7376262462698,None,v,1,73.73813776881434,75.73781156889163,0.9209400269319303,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,4,two.wav,NT,n,0,3,3,3,75.77118838066235,76.2712791900849,76.25449069301831,None,n,1,76.25452741840854,None,1.0604589914437383,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,5,seven.wav,NT,n,0,4,4,4,78.2544243374723,78.75468337856,78.73810907573207,None,n,1,78.73812304297462,80.73823415621882,1.2330392774310894,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,6,three.wav,NT,n,0,5,5,5,80.75501002476085,81.25532261439366,81.23772910415428,None,n,1,81.23783410392934,83.23771049600327,1.3572518348228186,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,7,four.wav,NT,n,0,6,6,6,83.25473090290325,83.7544611520716,83.75439854493598,None,n,1,83.7544611520716,None,1.1923553196247667,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,8,four.wav,T,v,0,7,7,7,85.75509391748346,86.25508387712762,86.23845379453851,None,v,1,86.23850167583441,88.23823571804678,1.2121071488945745,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,9,six.wav,NT,n,0,8,8,8,88.27171561081195,88.77188406558707,88.75526915511583,None,n,1,88.75525367062073,None,1.0236345454468392,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,10,six.wav,T,v,0,9,9,9,90.7552112780395,91.25593172915978,91.23910931803985,None,v,1,91.23921342531685,None,0.995483179751318,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,11,three.wav,NT,n,0,10,10,10,93.239521329524,93.73949210095452,93.72267816830427,None,n,1,93.72262296866393,95.72276799601968,1.1517780126887374,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,12,three.wav,T,v,0,11,11,11,95.73935421340866,96.23938968934817,96.22272480014945,None,v,1,96.22280257946113,98.22309441905236,1.235632365976926,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,13,seven.wav,NT,n,0,12,12,12,98.23982120142318,98.73943498247536,98.72271832972766,None,n,1,98.72278316807933,100.72267383977305,1.0877138650976121,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,14,nine.wav,NT,n,0,13,13,13,100.7394095468917,101.23958023294108,101.23958366897423,None,n,1,101.23958023294108,None,0.9308224120177329,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,15,five.wav,NT,n,0,14,14,14,103.25682286632946,103.75683692278108,103.74009572694777,None,n,1,103.7401757374173,None,1.1425823877798393,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,16,five.wav,T,v,0,15,15,15,105.74030157650122,106.2399657825008,106.22323931250722,None,v,1,106.2232840701472,108.22370888869045,0.8832958419225179,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,17,nine.wav,NT,n,0,16,16,16,108.24042317637941,108.74042563064722,108.7236134829931,None,n,1,108.72457659832435,None,0.9497411150950938,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,18,eight.wav,NT,n,0,17,17,17,110.74029666790739,111.24045396677684,111.22377658295446,None,n,1,111.22384008258814,113.22462412266759,0.8342266272520646,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,19,two.wav,NT,n,0,18,18,18,113.2410666514188,113.74124001490418,113.72451175991446,None,n,1,113.72463282430544,115.72446370014222,0.7584148200694472,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
1,20,two.wav,T,v,0,19,19,19,115.74122395028826,116.24202829418937,116.22450975186658,None,v,1,116.22471917135408,118.22541574871866,0.8173900704132393,,,M,25,13,Chinese,2019_Sep_26_1528,PRACTICE_OneBack_Digits,3.2.3,60.00382896498925,
