BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,97.63976898948977,98.15325732048677,98.1199564735643,None,None,1,98.12019258015744,None,,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,2,three.wav,T,v,0,1,1,1,100.05376099372734,100.55332389977957,100.53662771421064,None,v,1,100.5366786304121,102.53671299103917,0.5819128337834627,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,3,three.wav,T,v,0,2,2,2,102.5535206924601,103.05377616595206,103.03669264240803,None,v,1,103.03657621789444,105.03659763750602,0.6977768674441904,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,4,two.wav,NT,n,0,3,3,3,105.10335230307692,105.60440476461417,105.58665767935459,None,n,1,105.58675500471463,None,0.7715848325942716,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,5,seven.wav,NT,n,0,4,4,4,107.60300044133328,108.10532692351444,108.08864457144496,None,n,1,108.08849512503048,None,0.9019173676010723,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,6,three.wav,NT,n,0,5,5,5,110.03890292319693,110.53924987627943,110.52251531390671,None,n,1,110.52254882667376,112.52251937470783,0.9078845143794751,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,7,four.wav,NT,n,0,6,6,6,112.55586792489021,113.05551829435626,113.0391523277985,None,n,1,113.0388377718782,None,0.9115378968708683,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,8,four.wav,T,v,0,7,7,7,115.03930989581568,115.5392958391958,115.52256975541918,None,v,1,115.52270322637378,117.52279693717401,0.8355089857504936,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,9,six.wav,NT,n,0,8,8,8,117.58924414207104,118.09009400978266,118.07261913208636,None,n,1,118.07258213863224,None,0.7499050620340313,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,10,six.wav,T,v,0,9,9,9,120.03974542791684,120.53949263187678,120.522997255166,None,n,0,120.52294999814785,122.52284022263893,0.6992771327350056,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,11,three.wav,NT,n,0,10,10,10,122.5395100353112,123.04043264045367,123.02292474085603,None,n,1,123.0229372802537,125.02302295870004,0.9589899225188674,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,12,three.wav,T,v,0,11,11,11,125.03967001303454,125.53954394969605,125.5228410704985,None,v,1,125.52295624553471,127.5231142151697,0.9550875370437097,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
1,13,seven.wav,NT,n,0,12,12,12,127.5398005387924,128.0399020588261,128.02347941954616,None,n,1,128.02426797361977,130.02326214436198,0.8377990992162268,m,,19,,2021_Apr_12_1603,PRACTICE_OneBack_Digits,3.2.3,59.98337763297124,
