BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate
1,1,eight.wav,None,None,0,0,0,0,,,,,,,,,18.74700827,19.24707454,19.23036748,None,None,1,19.2309571,None,,,,,,,,,,,,,,,,,,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,2,two.wav,NT,v,0,1,1,1,,,,,,,,,21.18143206,21.68089724,21.66412503,None,v,1,21.66423538,23.66526353,0.747442911,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,3,two.wav,T,n,0,2,2,2,,,,,,,,,23.68198205,24.18156459,24.16485396,None,n,1,24.16491166,None,0.87063791,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,4,four.wav,NT,v,0,3,3,3,,,,,,,,,26.16530436,26.6652729,26.64849801,None,v,1,26.64856999,28.64916349,0.954878048,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,5,four.wav,T,n,0,4,4,4,,,,,,,,,28.66570888,29.16584387,29.14915064,None,n,1,29.14917844,31.14946092,0.870224688,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,6,four.wav,T,n,0,5,5,5,,,,,,,,,31.16599916,31.66581687,31.6537686,None,n,1,31.64933976,33.6489841,1.026051273,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,7,one.wav,NT,v,0,6,6,6,,,,,,,,,33.66591727,34.17315959,34.13954658,None,v,1,34.13959937,36.13989211,0.839847974,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,8,nine.wav,NT,v,0,7,7,7,,,,,,,,,36.17327606,36.67322318,36.6563934,None,v,1,36.6564511,38.65631277,1.091120327,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,9,five.wav,NT,v,0,8,8,8,,,,,,,,,38.67296882,39.17329257,39.15656811,None,v,1,39.15663562,41.15665883,0.958812581,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
1,10,six.wav,NT,v,0,9,9,9,,,,,,,,,41.17352819,41.67310046,41.65638716,None,v,1,41.65643325,43.65668538,1.218825513,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,24,,2021_May_03_1440,OneBack_Digits,3.2.3,59.99402985
