BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender (f/m),Age,participant,Ethnic,date,expName,psychopyVersion,frameRate
1,1,two.wav,None,None,0,0,0,0,,,,,,,,,29.93737592,30.43767155,30.42106177,None,None,1,30.42110832,None,,,,,,,,,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,2,five.wav,NT,n,0,1,1,1,,,,,,,,,32.33808553,32.83779347,32.82105517,None,n,1,32.82113964,None,0.83889078,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,3,eight.wav,NT,n,0,2,2,2,,,,,,,,,34.82470022,35.3247357,35.30804069,None,n,1,35.30810017,37.30982446,0.831978462,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,4,eight.wav,T,v,0,3,3,3,,,,,,,,,37.32662376,37.82639461,37.80989729,None,v,1,37.8108796,None,0.745186702,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,5,seven.wav,NT,n,0,4,4,4,,,,,,,,,39.82609384,40.32657333,40.30986583,None,n,1,40.30989452,42.31051123,0.806666616,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,6,one.wav,NT,n,0,5,5,5,,,,,,,,,42.343465,42.84347861,42.8267903,None,n,1,42.82681765,None,0.753091466,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,7,one.wav,T,v,0,6,6,6,,,,,,,,,44.82745221,45.32750375,45.31046201,None,v,1,45.31047865,47.31094409,0.685531479,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,8,one.wav,T,v,0,7,7,7,,,,,,,,,47.32761264,47.82760438,47.81089509,None,v,1,47.81109871,49.81112727,0.664873956,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,9,one.wav,T,v,0,8,8,8,,,,,,,,,49.82796405,50.32781434,50.31125365,None,v,1,50.31112883,52.31145191,0.612506342,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
1,10,four.wav,NT,n,0,9,9,9,,,,,,,,,52.32834492,52.82803144,52.81162425,None,n,1,52.81154808,54.81153514,0.704157253,,,,,,,TRUE,,,,,,,,,,,,,,,,25,,2021_May_04_1450,OneBack_Digits,3.2.3,59.97973845
