BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,eight.wav,None,None,0,0,0,0,,,,,,,,,53.79168913944159,54.301538730738685,54.301538730738685,None,None,1,54.301538730738685,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,2,nine.wav,None,None,0,1,1,1,,,,,,,,,56.22806620236952,56.744281861698255,56.744281861698255,None,None,1,56.744281861698255,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,3,four.wav,None,None,0,2,2,2,,,,,,,,,58.723682670271955,59.23361650062725,59.23361650062725,None,None,1,59.23361650062725,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,4,two.wav,NT,v,0,3,3,3,,,,,,,,,61.2157421335578,61.71732827171218,61.74398137256503,None,v,1,61.74398137256503,None,0.8024155831662938,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,5,nine.wav,T,n,0,4,4,4,,,,,,,,,63.726374674239196,64.23394324618857,64.23394324618857,None,n,1,64.23394324618857,None,1.560015243361704,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,6,three.wav,NT,v,0,5,5,5,,,,,,,,,66.24021595832892,66.74201834655832,66.74201834655832,None,v,1,66.74201834655832,None,1.9158243669662625,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,7,eight.wav,NT,v,0,6,6,6,,,,,,,,,68.74129374453332,69.23459965456277,69.25749591109343,None,None,0,69.25749591109343,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,8,seven.wav,NT,v,0,7,7,7,,,,,,,,,71.23429989477154,71.72142644843552,71.74694359803107,None,None,0,71.74694359803107,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,9,three.wav,T,n,0,8,8,8,,,,,,,,,73.72710219363216,74.23875581414904,74.23875581414904,None,v,0,74.23875581414904,None,1.3952071241801605,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,10,two.wav,NT,v,0,9,9,9,,,,,,,,,76.24148793204222,76.74671968980692,76.74671968980692,None,None,0,76.74671968980692,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,11,seven.wav,T,n,0,10,10,10,,,,,,,,,78.74915751791559,79.2546171953436,79.2546171953436,None,n,1,79.2546171953436,None,1.1713076567975804,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,12,five.wav,NT,v,0,11,11,11,,,,,,,,,81.23010106862057,81.73687648028135,81.73687648028135,None,None,0,81.73687648028135,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,13,six.wav,NT,v,0,12,12,12,,,,,,,,,83.73805692151655,84.24910810496658,84.24910810496658,None,None,0,84.24910810496658,None,,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,14,seven.wav,T,n,0,13,13,13,,,,,,,,,86.22796883515548,86.74017821485177,86.74017821485177,None,n,1,86.74017821485177,None,1.18163405591622,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
1,15,nine.wav,NT,v,0,14,14,14,,,,,,,,,88.71819509554189,89.2332999658538,89.2332999658538,None,v,1,89.2332999658538,None,1.2489600484259427,,,,,,,,,,,,,,,,,,,,,male,25,002,maldives,2019_Jul_18_1715,ThreeBack_Digits,3.1.2,60.200412272662476,
