BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,three.wav,None,None,0,0,0,0,79.87922708332007,80.37925831985012,80.36279077861927,None,None,1,80.36274222812972,None,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,2,three.wav,None,None,0,1,1,1,82.32974083497902,82.83029684520079,82.81295066502553,None,None,1,82.8129730660803,None,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,3,three.wav,None,None,0,2,2,2,84.8157134021676,85.31568841294393,85.29903568371974,None,None,1,85.29918883195933,87.29876758505088,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,4,two.wav,NT,n,0,3,3,3,87.31534882724736,87.81574240751615,87.79902497405219,None,v,0,87.79937268124559,89.79929637486748,1.4192383998688456,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,5,seven.wav,NT,n,0,4,4,4,89.81598828362439,90.31655232609592,90.29928557595285,None,None,0,90.2991964179746,92.2995873208256,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,6,three.wav,T,v,0,5,5,5,92.3162591489563,92.81587092352129,92.79932484473265,None,None,0,92.79928075660246,94.79981133136425,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,7,four.wav,NT,n,0,6,6,6,94.81696732569799,95.3165759766107,95.29979874750443,None,None,0,95.29984970767146,97.30036020180705,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,8,four.wav,NT,n,0,7,7,7,97.31708423956479,97.81708156214881,97.8004328490495,None,None,0,97.80043695442146,99.80081313148003,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,9,three.wav,T,v,0,8,8,8,99.81751753484969,100.31742873385883,100.30081661212152,None,None,0,100.30076583045047,102.3008403518852,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,10,six.wav,NT,n,0,9,9,9,102.31753315311471,102.81751530366819,102.80124009021146,None,v,0,102.80106480865834,104.80099921194778,1.777219288467677,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,11,three.wav,NT,n,0,10,10,10,104.81766434653764,105.31777278191657,105.30102678934036,None,n,1,105.30107596456219,107.30166856614596,1.6529434181502438,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,12,three.wav,T,v,0,11,11,11,107.31863669506856,107.81826498037117,107.80159261675526,None,None,0,107.80160296943359,109.80141108789758,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,13,seven.wav,NT,n,0,12,12,12,109.81808782462576,110.31848006618566,110.30170462202459,None,None,0,110.3018582165023,112.30178146388789,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,14,nine.wav,NT,n,0,13,13,13,112.31858671662121,112.81846087803206,112.80183626168382,None,v,0,112.80187026487692,114.80202287763495,1.0001307471866312,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,15,five.wav,NT,n,0,14,14,14,114.81872192617084,115.3185715445943,115.30190498204847,None,v,0,115.30198450132775,117.3025784416186,1.203865654364563,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,16,seven.wav,T,v,0,15,15,15,117.3195077479977,117.81927749015449,117.80259173945505,None,None,0,117.80275872101629,119.80429064965756,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,17,nine.wav,T,v,0,16,16,16,119.8210771604754,120.32109947228128,120.30446860862666,None,n,0,120.30446602045777,122.3048319340869,1.5051741079514613,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,18,eight.wav,NT,n,0,17,17,17,122.32171661685243,122.8215872083747,122.8049335866779,None,None,0,122.80507602524995,124.80588237394113,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,19,two.wav,NT,n,0,18,18,18,124.82249128277726,125.32200443915826,125.30535260240485,None,v,0,125.30535224541563,127.30551512160491,0.9680981326800975,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,20,two.wav,NT,n,0,19,19,19,127.32199640690669,127.82195356823831,127.80522988746797,None,v,0,127.805280847635,129.80558607314924,1.3321799616769567,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,21,eight.wav,T,v,0,20,20,20,129.82224094430785,130.3219964069067,130.3054074894497,None,None,0,130.3053968690292,132.30519160040785,,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
1,22,three.wav,NT,n,0,21,21,21,132.3219763262805,132.82232394422863,132.80600723081062,None,v,0,132.80561061613662,134.805671750486,1.2677282921740698,,,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
,,,,,,,,,,,,,,,,,,space,2.9413560937573493,f,,18,,2021_Apr_09_1250,PRACTICE_ThreeBack_Digits,3.2.3,59.94516311980637,
