BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,BreakResp.keys,BreakResp.rt,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
1,1,nine.wav,None,None,0,0,0,0,,,,,,,,,26.11717553862536,26.62990079596193,26.61323642744087,None,None,1,26.613197515146567,None,,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,2,seven.wav,None,None,0,1,1,1,,,,,,,,,28.563392009682048,29.06375145753782,29.04687958653044,None,None,1,29.046976331775568,31.047733604291807,,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,3,three.wav,None,None,0,2,2,2,,,,,,,,,31.06438690601317,31.564390252827707,31.547678136422793,None,None,1,31.54885121714733,None,,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,4,five.wav,NT,n,0,3,3,3,,,,,,,,,33.56437106442536,34.06432532462986,34.047660956109254,None,n,1,34.0479701125023,None,0.7646555882652137,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,5,two.wav,NT,n,0,4,4,4,,,,,,,,,36.04904243180454,36.54839962033748,36.53169419756118,None,n,1,36.53170214066722,38.53131078651495,0.752807419396504,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,6,six.wav,NT,n,0,5,5,5,,,,,,,,,38.56466112166481,39.06542709589803,39.04830399069674,None,n,1,39.04833960080123,None,0.7325841824199415,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,7,seven.wav,NT,n,0,6,6,6,,,,,,,,,41.04916693329642,41.54900740181483,41.532326522343325,None,v,0,41.532392923139014,43.53230813717664,0.9521093185571772,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,8,two.wav,T,v,0,7,7,7,,,,,,,,,43.548955191511595,44.048742557242804,44.03210496323668,None,n,0,44.0320897017632,46.03293711514425,1.1564301004445952,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,9,six.wav,T,v,0,8,8,8,,,,,,,,,46.05180466920774,46.56635594842737,46.54959563789639,None,v,1,46.54966739359497,None,1.0387097004509087,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
1,10,one.wav,NT,n,0,9,9,9,,,,,,,,,48.58391333625195,49.08364179805176,49.066961364822006,None,n,1,49.06697287786346,None,0.7295086831977642,,,,,,,,,,,,,,,,,,,,,m,,19,,2021_Apr_12_1615,ThreeBack_Digits,3.2.3,60.026277301917354,
