trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,11.649448343436234,None,11.649448343436234,None,16.63176834618207,None,16.63176834618207,None,v,4.4879372181603685,16.63176834618207,None,,,,,,,,,,,,,,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
0,0,0,0,,,,,,,,,,,,,21.147190845338628,None,21.147190845338628,21.406589976279065,space,0.6502830762183294,21.147190845338628,None,21.828435249859467,None,2,21.828435249859467,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
1,0,1,0,,,,,,,,,,,,,23.82616407657042,None,23.82616407657042,24.096211611526087,space,0.4763027428416535,23.82616407657042,None,24.328603545669466,None,1,24.328603545669466,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
2,0,2,0,,,,,,,,,,,,,25.324154919711873,None,25.324154919711873,25.571762402076274,space,0.5136100824456662,25.324154919711873,None,25.867520726984367,None,5,25.867520726984367,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
3,0,3,0,,,,,,,,,,,,,30.855420931009576,None,30.855420931009576,31.10383178445045,space,0.4465750976232812,30.855420931009576,None,31.324087820132263,None,4,31.324087820132263,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
4,0,4,0,,,,,,,,,,,,,35.32297994859982,None,35.32297994859982,35.6092611940112,space,0.4177485554246232,35.32297994859982,None,35.77226382517256,None,4,35.77226382517256,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
5,0,5,0,,,,,,,,,,,,,39.76915828383062,None,39.76915828383062,40.01692622154951,space,0.39631645451299846,39.76915828383062,None,40.18798663117923,None,3,40.18798663117923,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
6,0,6,0,,,,,,,,,,,,,43.185153134632856,None,43.185153134632856,43.450221082079224,space,0.4356823640409857,43.185153134632856,None,43.65148102166131,None,2,43.65148102166131,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
7,0,7,0,,,,,,,,,,,,,45.650234574917704,None,45.650234574917704,45.91485397645738,space,0.46647995500825346,45.650234574917704,None,46.15008341858629,None,1,46.15008341858629,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
8,0,8,0,,,,,,,,,,,,,47.149532764800824,None,47.149532764800824,47.414278342737816,space,0.44797434168867767,47.149532764800824,None,47.618394388468005,None,1,47.618394388468005,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
9,0,9,0,,,,,,,,,,,,,48.61771901708562,None,48.61771901708562,48.883220923366025,space,0.4277489383239299,48.61771901708562,None,49.06697627261747,None,2,49.06697627261747,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
10,0,10,0,,,,,,,,,,,,,51.065230955486186,None,51.065230955486186,51.32932559505571,space,0.4125457890331745,51.065230955486186,None,51.49945973942522,None,4,51.49945973942522,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
11,0,11,0,,,,,,,,,,,,,55.496985079487786,None,55.496985079487786,55.7476080294,space,0.4357261244440451,55.496985079487786,None,55.96569609385915,None,1,55.96569609385915,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
12,0,12,0,,,,,,,,,,,,,56.96317147393711,None,56.96317147393711,57.2279090291122,space,0.5297755994834006,56.96317147393711,None,57.514121351763606,None,2,57.514121351763606,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
13,0,13,0,,,,,,,,,,,,,59.512088308809325,None,59.512088308809325,59.76250740746036,space,0.4614179516211152,59.512088308809325,None,59.99757785280235,None,2,59.99757785280235,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
14,0,14,0,,,,,,,,,,,,,61.99483078334015,None,61.99483078334015,62.258934175013565,space,0.41079171968158334,61.99483078334015,None,62.42898335098289,None,1,62.42898335098289,None,,,,,004,M,2019_Jul_19_1441,aPVT,3.1.2,60.276765437153486,
