trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,16.9326298822416,None,16.9326298822416,None,21.912900067283772,None,21.912900067283772,None,v,33.075684624840505,21.912900067283772,None,,,,,,,,,,,,,,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
0,0,0,0,,,,,,,,,,,,,55.04521414404735,None,55.04521414404735,55.31631266186014,space,2.0975860578473657,55.04521414404735,None,57.17214457760565,None,1,57.17214457760565,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
1,0,1,0,,,,,,,,,,,,,58.182226646807976,None,58.182226646807976,58.45790798973758,space,0.46482215891592205,58.182226646807976,None,58.69128672464285,None,1,58.69128672464285,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
2,0,2,0,,,,,,,,,,,,,59.70282893802505,None,59.70282893802505,59.97553492721636,space,0.4161356140393764,59.70282893802505,None,60.157078544725664,None,5,60.157078544725664,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
3,0,3,0,,,,,,,,,,,,,65.16573547828011,None,65.16573547828011,65.43895966548007,space,0.48116672958713025,65.16573547828011,None,65.69623385637533,None,5,65.69623385637533,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
4,0,4,0,,,,,,,,,,,,,70.69538854819257,None,70.69538854819257,70.9708040455589,space,0.47962599294260144,70.69538854819257,None,71.22762312670238,None,5,71.22762312670238,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
5,0,5,0,,,,,,,,,,,,,76.24147772125434,None,76.24147772125434,76.51844416605309,space,0.5253503123531118,76.24147772125434,None,76.79725730663631,None,4,76.79725730663631,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
6,0,6,0,,,,,,,,,,,,,80.81300746288616,None,80.81300746288616,81.06717210111674,space,0.3781922875205055,80.81300746288616,None,81.22410404798575,None,2,81.22410404798575,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
7,0,7,0,,,,,,,,,,,,,83.24038188380655,None,83.24038188380655,83.51581743813585,space,0.4224269244587049,83.24038188380655,None,83.69763164175674,None,1,83.69763164175674,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
8,0,8,0,,,,,,,,,,,,,84.70726370660122,None,84.70726370660122,84.95674414106179,space,0.427540346281603,84.70726370660122,None,85.19448653352447,None,3,85.19448653352447,None,,,,,005,M,2019_Jul_22_1548,aPVT,3.1.2,60.006499165498845,
