trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,ResponseTime.rt,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,16.306648365105502,None,16.306648365105502,None,21.290289924945682,None,21.290289924945682,None,v,4.71495514723938,21.290289924945682,None,,,,,,,,,,,,,,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
0,0,0,0,,,,,,,,,,,,,26.039945036754943,None,26.039945036754943,26.30267198558431,None,26.039945036754943,None,29.036572188837454,None,2,29.036572188837454,None,,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
1,0,1,0,,,,,,,,,,,,,31.036726080230437,None,31.036726080230437,31.300922291120514,space,31.036726080230437,None,31.588244518265128,None,1,31.588244518265128,None,0.5290054347133264,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
2,0,2,0,,,,,,,,,,,,,32.587439323193394,None,32.587439323193394,32.85031797550619,space,32.587439323193394,None,33.103721000021324,None,5,33.103721000021324,None,0.4893021753523499,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
3,0,3,0,,,,,,,,,,,,,38.1016500297701,None,38.1016500297701,38.36558148905169,space,38.1016500297701,None,38.51869288564194,None,3,38.51869288564194,None,0.3906300541711971,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
4,0,4,0,,,,,,,,,,,,,41.51740595942829,None,41.51740595942829,41.78062266227789,space,41.51740595942829,None,41.98416923976038,None,2,41.98416923976038,None,0.43949714698828757,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
5,0,5,0,,,,,,,,,,,,,43.98279442766216,None,43.98279442766216,44.22991598339286,space,43.98279442766216,None,44.38300951104611,None,3,44.38300951104611,None,0.3813856281340122,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
6,0,6,0,,,,,,,,,,,,,47.3814140727045,None,47.3814140727045,47.64531307609286,space,47.3814140727045,None,47.83199030847754,None,2,47.83199030847754,None,0.4233866835711524,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
7,0,7,0,,,,,,,,,,,,,49.83075151895173,None,49.83075151895173,50.094628277467564,space,49.83075151895173,None,50.280968188657425,None,2,50.280968188657425,None,0.429409964941442,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
8,0,8,0,,,,,,,,,,,,,52.28057798999362,None,52.28057798999362,52.52713831595611,space,52.28057798999362,None,52.68013082968537,None,3,52.68013082968537,None,0.3730441292282194,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
9,0,9,0,,,,,,,,,,,,,55.679135640733875,None,55.679135640733875,55.94256604113616,space,55.679135640733875,None,56.09530911943875,None,2,56.09530911943875,None,0.39008158806245774,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
10,0,10,0,,,,,,,,,,,,,58.09825639554765,None,58.09825639554765,58.360930467024446,space,58.09825639554765,None,58.49930694163777,None,4,58.49930694163777,None,0.3787421234883368,,,,,09,m,2019_Sep_23_1339,aPVT,3.1.2,59.941920330855005,
