trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,18.73501678078901,None,18.73501678078901,None,23.719979455228895,None,23.719979455228895,None,v,25.625979882723186,23.719979455228895,None,,,,,,,,,,,,,,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
0,0,0,0,,,,,,,,,,,,,49.37604291382013,None,49.37559944257955,49.62549616076285,space,0.5180728590348735,49.37604291382013,None,49.92634976928821,None,3,49.92634976928821,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
1,0,1,0,,,,,,,,,,,,,52.927424310240895,None,52.92656449898495,53.17657099175267,space,0.3988885105936788,52.927424310240895,None,53.34298159222817,None,3,53.34298159222817,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
2,0,2,0,,,,,,,,,,,,,56.343211851024535,None,56.3431744562753,None,space,0.36709495092509314,56.343211851024535,None,56.74336678482359,None,6,56.74336678482359,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
3,0,3,0,,,,,,,,,,,,,62.7429196544108,None,62.74347932602395,None,space,0.3349823312018998,62.7429196544108,None,63.11184016469633,None,6,63.11184016469633,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
4,0,4,0,,,,,,,,,,,,,69.12710284045897,None,69.1270475961559,69.37749363330659,space,0.3989474139525555,69.12710284045897,None,69.54531434562523,None,3,69.54531434562523,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
5,0,5,0,,,,,,,,,,,,,72.56028875161428,None,72.56031606137404,72.8103694091551,space,0.4291983291041106,72.56028875161428,None,73.01036342955194,None,5,73.01036342955194,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
6,0,6,0,,,,,,,,,,,,,78.01307521743001,None,78.01215561031714,78.2618903441471,space,0.44861503364518285,78.01307521743001,None,78.47825014044065,None,3,78.47825014044065,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
7,0,7,0,,,,,,,,,,,,,81.4801363881561,None,81.47921678104322,81.72888190177036,space,0.381758775387425,81.4801363881561,None,81.88169741764432,None,2,81.88169741764432,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
8,0,8,0,,,,,,,,,,,,,83.8955714009935,None,83.89562414627872,84.14500769088045,space,0.40588909114012495,83.8955714009935,None,84.32843289716402,None,6,84.32843289716402,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
9,0,9,0,,,,,,,,,,,,,90.3294351475779,None,90.32927102124668,None,space,0.40404255862813443,90.3294351475779,None,90.76661176449852,None,2,90.76661176449852,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
10,0,10,0,,,,,,,,,,,,,92.77963834203547,None,92.77963129146374,93.02999655948952,space,0.40976645244518295,92.77963834203547,None,93.23016461270163,None,6,93.23016461270163,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
11,0,11,0,,,,,,,,,,,,,99.23245292075444,None,99.23248781660223,99.48274821875384,space,0.41267146135214716,99.23245292075444,None,99.66768751031486,None,1,99.66768751031486,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
12,0,12,0,,,,,,,,,,,,,100.66638092562789,None,100.66670676856884,100.91676591744181,space,0.4347495288820937,100.66638092562789,None,101.13385754387127,None,1,101.13385754387127,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
13,0,13,0,,,,,,,,,,,,,102.13340327370679,None,102.13309367379989,102.38318272057222,space,0.3358217047643848,102.13340327370679,None,102.50393247167813,None,2,102.50393247167813,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
14,0,14,0,,,,,,,,,,,,,104.51710586145055,None,104.51728801581194,104.7671494812239,space,0.35996719263494015,104.51710586145055,None,104.90056078718044,None,5,104.90056078718044,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
15,0,15,0,,,,,,,,,,,,,109.90075222327141,None,109.90092589904671,110.1508569776197,space,0.3923189958441071,109.90075222327141,None,110.31910072348546,None,1,110.31910072348546,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
16,0,16,0,,,,,,,,,,,,,111.33367619279306,None,111.33459999453626,111.58424860448577,space,0.4074629722745158,111.33367619279306,None,111.76964305876754,None,4,111.76964305876754,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
17,0,17,0,,,,,,,,,,,,,115.78782993159257,None,115.78446137073334,116.034292492026,space,0.32098429376492277,115.78782993159257,None,116.13628954056185,None,6,116.13628954056185,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
18,0,18,0,,,,,,,,,,,,,122.13679468189366,None,122.13614281756455,None,space,0.3957684150082059,122.13679468189366,None,122.55366256472189,None,2,122.55366256472189,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
19,0,19,0,,,,,,,,,,,,,124.55552560801152,None,124.5555805845128,124.805620098894,space,0.34487631847150624,124.55552560801152,None,124.92227784823626,None,4,124.92227784823626,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
20,0,20,0,,,,,,,,,,,,,128.92336666880874,None,128.92309366044938,129.17306177673163,space,0.34506195347057655,128.92336666880874,None,129.2897181873559,None,2,129.2897181873559,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
21,0,21,0,,,,,,,,,,,,,131.29211493127514,None,131.29001190118143,131.5397854577168,space,0.38426573999458924,131.29211493127514,None,131.7079055957147,None,1,131.7079055957147,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
22,0,22,0,,,,,,,,,,,,,132.72573369322345,None,132.7233575655322,None,space,0.3664755727513693,132.72573369322345,None,133.12319245748222,None,2,133.12319245748222,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
23,0,23,0,,,,,,,,,,,,,135.12364449654706,None,135.12360576307984,135.3739879881614,space,0.35255473444703966,135.12364449654706,None,135.506530468876,None,5,135.506530468876,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
24,0,24,0,,,,,,,,,,,,,140.5124221481965,None,140.51098535134807,140.76087180612376,space,0.3639748553978279,140.5124221481965,None,140.8978913919418,None,1,140.8978913919418,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
25,0,25,0,,,,,,,,,,,,,141.91055964038242,None,141.91054321878474,142.1608433361398,space,0.4536021886742674,141.91055964038242,None,142.39414321648655,None,2,142.39414321648655,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
26,0,26,0,,,,,,,,,,,,,144.39463363197865,None,144.3943824892689,144.6443265087437,space,0.38533314113738015,144.39463363197865,None,144.81073353928514,None,6,144.81073353928514,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
27,0,27,0,,,,,,,,,,,,,150.81129089044407,None,150.81129097968224,151.06125597230857,space,0.36871390213491395,150.81129089044407,None,151.21154399658553,None,2,151.21154399658553,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
28,0,28,0,,,,,,,,,,,,,153.21268859686097,None,153.2118078124535,153.46139707276598,space,0.39906343584880233,153.21268859686097,None,153.62807720096316,None,5,153.62807720096316,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
29,0,29,0,,,,,,,,,,,,,158.63448562379926,None,158.6308381642506,158.88066437689122,space,0.35324194078566507,158.63448562379926,None,159.01377982710255,None,2,159.01377982710255,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
30,0,30,0,,,,,,,,,,,,,161.01463794260053,None,161.01471076865565,161.2645534920739,space,0.3810095419175923,161.01463794260053,None,161.447710509412,None,1,161.447710509412,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
31,0,31,0,,,,,,,,,,,,,162.44853917323053,None,162.4485392624687,162.6992079723277,space,0.40308493201155216,162.44853917323053,None,162.8819972895435,None,1,162.8819972895435,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
32,0,32,0,,,,,,,,,,,,,163.8820361122489,None,163.8818130825588,None,space,0.36957514128880575,163.8820361122489,None,164.28193401300814,None,2,164.28193401300814,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
33,0,33,0,,,,,,,,,,,,,166.28184476541355,None,166.2818747526093,166.531823234458,space,0.3696648351615295,166.28184476541355,None,166.68179844593396,None,2,166.68179844593396,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
34,0,34,0,,,,,,,,,,,,,168.68327727838187,None,168.68242951558787,None,space,0.3682449060725048,168.68327727838187,None,169.0824897577404,None,2,169.0824897577404,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
35,0,35,0,,,,,,,,,,,,,171.08213455235818,None,171.08244299196522,171.33255613560323,space,0.3533427905640565,171.08213455235818,None,171.48278034786927,None,3,171.48278034786927,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
36,0,36,0,,,,,,,,,,,,,174.48288075136952,None,174.48290716868942,174.7328900108114,space,0.3846142518450506,174.48288075136952,None,174.9000163769233,None,2,174.9000163769233,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
37,0,37,0,,,,,,,,,,,,,176.89931979955873,None,176.89932524361066,177.14994620601647,space,0.3360256354790181,176.89931979955873,None,177.28311297361506,None,2,177.28311297361506,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
38,0,38,0,,,,,,,,,,,,,179.28389032004634,None,179.28396269988153,179.53388708486455,space,0.3433742815977894,179.28389032004634,None,179.65062783443136,None,2,179.65062783443136,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
39,0,39,0,,,,,,,,,,,,,181.65091164177284,None,181.65079392417684,181.90095749270404,space,0.4005146016133949,181.65091164177284,None,182.06964212167077,None,6,182.06964212167077,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
40,0,40,0,,,,,,,,,,,,,188.08460715669207,None,188.08457110066084,None,space,0.43041566613828763,188.08460715669207,None,188.53453814599197,None,1,188.53453814599197,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
41,0,41,0,,,,,,,,,,,,,189.53836642112583,None,189.53522187175113,189.78539436496794,space,0.4408821766846813,189.53836642112583,None,190.005734603561,None,5,190.005734603561,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
42,0,42,0,,,,,,,,,,,,,195.02115033887094,None,195.01917047048337,195.26876687060576,space,0.4539283886551857,195.02115033887094,None,195.5188091516029,None,4,195.5188091516029,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
43,0,43,0,,,,,,,,,,,,,199.52057357638841,None,199.52058616030845,199.77063816931332,space,0.3703145575709641,199.52057357638841,None,199.9209020967246,None,3,199.9209020967246,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
44,0,44,0,,,,,,,,,,,,,202.9209654625156,None,202.9209673366917,None,space,0.3698036151472479,202.9209654625156,None,203.32123240205692,None,1,203.32123240205692,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
45,0,45,0,,,,,,,,,,,,,204.32084506750107,None,204.32098081312725,None,space,0.36179096694104373,204.32084506750107,None,204.70485377451405,None,6,204.70485377451405,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
46,0,46,0,,,,,,,,,,,,,210.70846428559162,None,210.70516846149113,210.95504286786309,space,0.3581679612980224,210.70846428559162,None,211.0885661795619,None,5,211.0885661795619,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
47,0,47,0,,,,,,,,,,,,,216.08895351405954,None,216.08900938305888,216.33899624133483,space,0.42543341976124793,216.08895351405954,None,216.53869128233055,None,4,216.53869128233055,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
48,0,48,0,,,,,,,,,,,,,220.53906344476854,None,220.53899347468396,220.78909367736196,space,0.3834526945720427,220.53906344476854,None,220.93931967456592,None,4,220.93931967456592,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
49,0,49,0,,,,,,,,,,,,,224.93951958918478,None,224.93936528009945,225.1897836504504,space,0.5027789466548711,224.93951958918478,None,225.47579270822462,None,2,225.47579270822462,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
50,0,50,0,,,,,,,,,,,,,227.48987642332213,None,227.489586457907,227.7393823263701,space,0.44103835994610563,227.48987642332213,None,227.97302090132143,None,5,227.97302090132143,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
51,0,51,0,,,,,,,,,,,,,232.97310791775817,None,232.97318163625314,233.22328005399322,space,0.4531505959457718,232.97310791775817,None,233.47331742645474,None,4,233.47331742645474,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
52,0,52,0,,,,,,,,,,,,,237.4733790072496,None,237.4733188544109,237.72445254417835,space,0.4326035706908442,237.4733790072496,None,237.9245911456528,None,4,237.9245911456528,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
53,0,53,0,,,,,,,,,,,,,241.92516545386752,None,241.9256675607816,None,space,0.42894754343433306,241.92516545386752,None,242.3922971301945,None,6,242.3922971301945,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
54,0,54,0,,,,,,,,,,,,,248.39549219375476,None,248.39290410304093,248.6426517777727,space,0.39821781497448683,248.39549219375476,None,248.82576060137944,None,5,248.82576060137944,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
55,0,55,0,,,,,,,,,,,,,253.82613321003737,None,253.82622254687013,254.07565339270514,space,0.3835290012648329,253.82613321003737,None,254.22597577731358,None,5,254.22597577731358,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
56,0,56,0,,,,,,,,,,,,,259.227063705388,None,259.2263623086095,259.4763375647017,space,0.34266208589542657,259.227063705388,None,259.5962635605829,None,6,259.5962635605829,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
57,0,57,0,,,,,,,,,,,,,265.6117323982762,None,265.6116780464712,265.8613556618802,space,0.4218380808015354,265.6117323982762,None,266.07863827818073,None,2,266.07863827818073,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
58,0,58,0,,,,,,,,,,,,,268.0781344755669,None,268.07865844813057,268.3286993012298,space,0.37917238037334755,268.0781344755669,None,268.47868879232556,None,1,268.47868879232556,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
59,0,59,0,,,,,,,,,,,,,269.4787775937002,None,269.4776888623659,269.7274601877434,space,0.3786627766676247,269.4787775937002,None,269.88078619982116,None,3,269.88078619982116,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
60,0,60,0,,,,,,,,,,,,,272.89463028521277,None,272.89518192451794,273.1448153623496,space,0.38660536549286917,272.89463028521277,None,273.31514884042554,None,4,273.31514884042554,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
61,0,61,0,,,,,,,,,,,,,277.32914910907857,None,277.3318060989317,277.5951078044018,space,0.360180048039183,277.32914910907857,None,277.71394676470663,None,3,277.71394676470663,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
62,0,62,0,,,,,,,,,,,,,280.7283919325564,None,280.7284879629791,280.9788170857355,space,0.3286908227019012,280.7283919325564,None,281.0787891066284,None,3,281.0787891066284,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
63,0,63,0,,,,,,,,,,,,,284.0792224036413,None,284.0792456972471,284.3292388028931,space,0.33821755612734705,284.0792224036413,None,284.4464525646763,None,3,284.4464525646763,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
64,0,64,0,,,,,,,,,,,,,287.44978730066214,None,287.44695199415435,287.6967108249082,space,0.35452264366904274,287.44978730066214,None,287.82972096296726,None,5,287.82972096296726,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
65,0,65,0,,,,,,,,,,,,,292.8307700683363,None,292.83082816849344,None,space,0.3619409029488452,292.8307700683363,None,293.2158756281133,None,1,293.2158756281133,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
66,0,66,0,,,,,,,,,,,,,294.23220927489456,None,294.2310772584809,294.4809949499322,space,0.3766658619279042,294.23220927489456,None,294.64771747071063,None,5,294.64771747071063,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
67,0,67,0,,,,,,,,,,,,,299.64835559093626,None,299.64784116787484,299.8979534190148,space,0.46435786137590185,299.64835559093626,None,300.13392090966227,None,1,300.13392090966227,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
68,0,68,0,,,,,,,,,,,,,301.14911218732595,None,301.14803818188955,301.3979005397996,space,0.3956314199604094,301.14911218732595,None,301.56468687258894,None,6,301.56468687258894,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
69,0,69,0,,,,,,,,,,,,,307.5675673384103,None,307.5675741212384,307.81758239894407,space,0.38497079600347206,307.5675673384103,None,307.98427859169897,None,4,307.98427859169897,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
70,0,70,0,,,,,,,,,,,,,311.9966425058665,None,311.99653772917225,312.2466397168464,space,0.4437327444902621,311.9966425058665,None,312.4645176145714,None,1,312.4645176145714,None,,,,,14,m,2019_Sep_27_1230,aPVT,3.2.3,59.68452619659837,
