trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,18.038660559803247,None,18.038660559803247,None,23.01701409125235,None,23.01701409125235,None,v,140.80891677964246,23.01701409125235,None,,,,,,,,,,,,,,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
0,0,0,0,,,,,,,,,,,,,163.85209905018564,None,163.84996675541043,164.10060884460108,space,0.4162365694064647,163.85209905018564,None,164.3174376586103,None,6,164.3174376586103,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
1,0,1,0,,,,,,,,,,,,,170.31957245228114,None,170.3195169404906,170.5704611315159,space,0.3083630005712621,170.31957245228114,None,170.65497468505055,None,2,170.65497468505055,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
2,0,2,0,,,,,,,,,,,,,172.67107176105492,None,172.6702215027006,172.92020316241542,space,0.42892217013286427,172.67107176105492,None,173.13704268605215,None,6,173.13704268605215,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
3,0,3,0,,,,,,,,,,,,,179.13711943867384,None,179.1371424645011,179.3871125220321,space,0.3465974048594944,179.13711943867384,None,179.503765340487,None,4,179.503765340487,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
4,0,4,0,,,,,,,,,,,,,183.5082808039151,None,183.50456258600462,None,space,0.29553371184738353,183.5082808039151,None,183.82110081100836,None,2,183.82110081100836,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
5,0,5,0,,,,,,,,,,,,,185.8214399504941,None,185.82138711613953,None,space,0.3423273713560775,185.8214399504941,None,186.1882955832407,None,2,186.1882955832407,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
6,0,6,0,,,,,,,,,,,,,188.19133355887607,None,188.18896386648413,None,space,0.2683374044718221,188.19133355887607,None,188.48857813997893,None,3,188.48857813997893,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
7,0,7,0,,,,,,,,,,,,,191.48873833875405,None,191.48880152577186,191.73920041625388,space,0.29906254715751857,191.48873833875405,None,191.80731880810345,None,3,191.80731880810345,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
8,0,8,0,,,,,,,,,,,,,194.82470550650032,None,194.82244558822714,None,space,0.2671102551394142,194.82470550650032,None,195.12242309789872,None,1,195.12242309789872,None,,,,,21,m,2021_Apr_23_1536,aPVT,3.2.3,59.926247598561176,
