trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
,,,,13.474968171653018,None,13.474968171653018,None,18.458331752884988,None,18.458331752884988,None,v,12.242951689189795,18.458331752884988,None,,,,,,,,,,,,,,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
0,0,0,0,,,,,,,,,,,,,30.72890236942112,None,30.725597219365227,30.975619910866953,space,0.4153972887106647,30.72890236942112,None,31.176829053332767,None,1,31.176829053332767,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
1,0,1,0,,,,,,,,,,,,,32.179199054677156,None,32.176744891732596,32.42651322421443,space,0.605159828945034,32.179199054677156,None,32.826581588778936,None,2,32.826581588778936,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
2,0,2,0,,,,,,,,,,,,,34.82737188672036,None,34.82675981859029,35.077020804335916,space,0.37295012287358986,34.82737188672036,None,35.229948588239495,None,1,35.229948588239495,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
3,0,3,0,,,,,,,,,,,,,36.243301098158554,None,36.24325308231528,36.493480153523706,space,0.33376589242107,36.243301098158554,None,36.61062944040532,None,3,36.61062944040532,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
4,0,4,0,,,,,,,,,,,,,39.610830696401536,None,39.61045112134343,39.860486307672545,space,0.3253747221569938,39.610830696401536,None,39.964436592534184,None,1,39.964436592534184,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
5,0,5,0,,,,,,,,,,,,,40.966596412999934,None,40.964084684595946,41.214237679316284,space,0.30550392761506373,40.966596412999934,None,41.30054392668535,None,3,41.30054392668535,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
6,0,6,0,,,,,,,,,,,,,44.31394061475294,None,44.31391981978777,44.56388405333928,space,0.29398905006746645,44.31394061475294,None,44.63055913913922,None,2,44.63055913913922,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
7,0,7,0,,,,,,,,,,,,,46.63161182849581,None,46.631246086997635,None,space,0.30452843845341704,46.63161182849581,None,46.96883789610001,None,6,46.96883789610001,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
8,0,8,0,,,,,,,,,,,,,52.98387274551715,None,52.982670742954724,53.23257696479777,space,0.3521315062898793,52.98387274551715,None,53.36958187392884,None,6,53.36958187392884,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
9,0,9,0,,,,,,,,,,,,,59.38643739845065,None,59.383711919215784,59.63386312896182,space,0.34158274678338785,59.38643739845065,None,59.76706247012771,None,3,59.76706247012771,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
10,0,10,0,,,,,,,,,,,,,62.77105144433517,None,62.769818204697,63.02009079278287,space,0.36509266031498555,62.77105144433517,None,63.156008651774755,None,6,63.156008651774755,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
11,0,11,0,,,,,,,,,,,,,69.17108678684963,None,69.17008157784403,69.41964597686456,space,0.3248289658695285,69.17108678684963,None,69.53677696774321,None,6,69.53677696774321,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
12,0,12,0,,,,,,,,,,,,,75.53937098352617,None,75.53713458760285,75.78701046486458,space,0.3246183387527708,75.53937098352617,None,75.88995803968646,None,4,75.88995803968646,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
13,0,13,0,,,,,,,,,,,,,79.90565065260671,None,79.90503010584325,None,space,0.34220347204609425,79.90565065260671,None,80.27343103992098,None,6,80.27343103992098,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
14,0,14,0,,,,,,,,,,,,,86.29067613536608,None,86.28861555954245,None,space,0.32513285796449054,86.29067613536608,None,86.65530023958854,None,1,86.65530023958854,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
15,0,15,0,,,,,,,,,,,,,87.65628777733218,None,87.65523794393994,87.90558728597534,space,0.3194686841634393,87.65628777733218,None,88.02204846476161,None,3,88.02204846476161,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
16,0,16,0,,,,,,,,,,,,,91.02383656406164,None,91.02348420988164,91.27348369669926,space,0.3678459851653315,91.02383656406164,None,91.42693358596443,None,3,91.42693358596443,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
17,0,17,0,,,,,,,,,,,,,94.4395756756021,None,94.43954372453845,94.68976276335525,space,0.2959815290705592,94.4395756756021,None,94.75647444115748,None,4,94.75647444115748,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
18,0,18,0,,,,,,,,,,,,,98.75728080387853,None,98.75712747447506,99.00705333105361,space,0.3143480354337953,98.75728080387853,None,99.09432614270554,None,4,99.09432614270554,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
19,0,19,0,,,,,,,,,,,,,103.11040877279811,None,103.10951467852101,None,space,0.3051870944473194,103.11040877279811,None,103.44408809390006,None,5,103.44408809390006,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
20,0,20,0,,,,,,,,,,,,,108.46020329979365,None,108.45971528746486,108.70981473291977,space,0.30734289871907094,108.46020329979365,None,108.79290713173395,None,4,108.79290713173395,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
21,0,21,0,,,,,,,,,,,,,112.79449486752492,None,112.79445042163024,113.04459002903604,space,0.3090163133383612,112.79449486752492,None,113.13098240147883,None,5,113.13098240147883,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
22,0,22,0,,,,,,,,,,,,,118.14631444933184,None,118.14459212638212,None,space,0.29313583173279767,118.14631444933184,None,118.46472508921215,None,3,118.46472508921215,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
23,0,23,0,,,,,,,,,,,,,121.47995717843514,None,121.4779385495367,121.7280482585993,space,0.32744752506550867,121.47995717843514,None,121.82987397625766,None,3,121.82987397625766,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
24,0,24,0,,,,,,,,,,,,,124.83051210503254,None,124.82944754558957,125.07959250792192,space,0.328862564467272,124.83051210503254,None,125.19641826797306,None,2,125.19641826797306,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
25,0,25,0,,,,,,,,,,,,,127.19745087635602,None,127.19620424939967,127.44598998539368,space,0.36997635353691294,127.19745087635602,None,127.59650939097992,None,3,127.59650939097992,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
26,0,26,0,,,,,,,,,,,,,130.59760224228376,None,130.59629224869605,130.84633992985619,space,0.32967160464977496,130.59760224228376,None,130.96320362064216,None,2,130.96320362064216,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
27,0,27,0,,,,,,,,,,,,,132.9642299816078,None,132.96348314781972,133.2133202018631,space,0.29882811889910954,132.9642299816078,None,133.27972888005388,None,5,133.27972888005388,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
28,0,28,0,,,,,,,,,,,,,138.28674561910884,None,138.28598673673878,138.5360473589717,space,0.32052985215341323,138.28674561910884,None,138.64014847426733,None,2,138.64014847426733,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
29,0,29,0,,,,,,,,,,,,,140.65486470554242,None,140.65339674161623,140.90337123877543,space,0.3284216754946101,140.65486470554242,None,141.00737016422136,None,5,141.00737016422136,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
30,0,30,0,,,,,,,,,,,,,146.0222867590055,None,146.02032524932474,None,space,0.31291603876525187,146.0222867590055,None,146.37049399645548,None,5,146.37049399645548,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
31,0,31,0,,,,,,,,,,,,,151.3715515944932,None,151.37136033435854,151.6211781999118,space,0.2914878530209535,151.3715515944932,None,151.6912826700718,None,2,151.6912826700718,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
32,0,32,0,,,,,,,,,,,,,153.70657009353454,None,153.70481430229302,153.95464555516446,space,0.3325668350626074,153.70657009353454,None,154.0752701895217,None,3,154.0752701895217,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
33,0,33,0,,,,,,,,,,,,,157.08859413983373,None,157.08887009706268,157.33838942544753,space,0.3345472654837067,157.08859413983373,None,157.47165659568418,None,5,157.47165659568418,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
34,0,34,0,,,,,,,,,,,,,162.47336258610812,None,162.47232257007818,162.72185840948805,space,0.3016724775079638,162.47336258610812,None,162.80630917472809,None,5,162.80630917472809,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
35,0,35,0,,,,,,,,,,,,,167.80680807540557,None,167.80617815752157,168.0554676702959,space,0.32027236942303716,167.80680807540557,None,168.17237018430023,None,1,168.17237018430023,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
36,0,36,0,,,,,,,,,,,,,169.17383386428628,None,169.17206959441137,None,space,0.29717344652453903,169.17383386428628,None,169.50544707614245,None,1,169.50544707614245,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
37,0,37,0,,,,,,,,,,,,,170.50549973292073,None,170.50539415161438,170.75557168975138,space,0.3575172238961386,170.50549973292073,None,170.89137174035568,None,6,170.89137174035568,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
38,0,38,0,,,,,,,,,,,,,176.90685506488808,None,176.9057548059336,None,space,0.2922835058889177,176.90685506488808,None,177.22491451082533,None,5,177.22491451082533,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
39,0,39,0,,,,,,,,,,,,,182.23962092473084,None,182.23928642030478,182.48937738712266,space,0.3191545284607855,182.23962092473084,None,182.59206435550732,None,1,182.59206435550732,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
40,0,40,0,,,,,,,,,,,,,183.6061661089334,None,183.60621180431008,183.85625145307858,space,0.38464349798232433,183.6061661089334,None,184.00629516267145,None,4,184.00629516267145,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
41,0,41,0,,,,,,,,,,,,,188.00818411309228,None,188.00679067189594,None,space,0.3506709500143188,188.00818411309228,None,188.39187934278743,None,1,188.39187934278743,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
42,0,42,0,,,,,,,,,,,,,189.40798294634078,None,189.4068661763613,189.65675588718295,space,0.29482129493771936,189.40798294634078,None,189.72459656204592,None,3,189.72459656204592,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
43,0,43,0,,,,,,,,,,,,,192.72481209784746,None,192.72503004336795,192.97468993858274,space,0.31394686216663104,192.72481209784746,None,193.06186279160102,None,3,193.06186279160102,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
44,0,44,0,,,,,,,,,,,,,196.07539156786152,None,196.07535203065527,196.32532295786223,space,0.33948004553531064,196.07539156786152,None,196.4583585275177,None,5,196.4583585275177,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
45,0,45,0,,,,,,,,,,,,,201.46613611241992,None,201.46474802615012,201.71479838477535,space,0.35650201903263223,201.46613611241992,None,201.8512602150804,None,6,201.8512602150804,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
46,0,46,0,,,,,,,,,,,,,207.85306437916006,None,207.85095070031275,208.10143079180853,space,0.3294636549981078,207.85306437916006,None,208.20110338266022,None,3,208.20110338266022,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
47,0,47,0,,,,,,,,,,,,,211.20143181817184,None,211.20145118515393,211.451690304948,space,0.317143307212973,211.20143181817184,None,211.55169400877276,None,3,211.55169400877276,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
48,0,48,0,,,,,,,,,,,,,214.55200191706172,None,214.55194319136535,None,space,0.2945946030340565,214.55200191706172,None,214.87074143869904,None,4,214.87074143869904,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
49,0,49,0,,,,,,,,,,,,,218.8882716839944,None,218.8857590630996,None,space,0.3182566857394704,218.8882716839944,None,219.23944644336734,None,1,219.23944644336734,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
50,0,50,0,,,,,,,,,,,,,220.25434072595817,None,220.25261215559476,220.50484330814652,space,0.35227385809412226,220.25434072595817,None,220.6400779677315,None,6,220.6400779677315,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
51,0,51,0,,,,,,,,,,,,,226.65539216583056,None,226.65518127096402,226.90493978607628,space,0.3030598497862229,226.65539216583056,None,226.99073820789272,None,1,226.99073820789272,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
52,0,52,0,,,,,,,,,,,,,228.00530316248478,None,228.00506326176583,228.2551671696565,space,0.36950868992789765,228.00530316248478,None,228.40850772916747,None,1,228.40850772916747,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
53,0,53,0,,,,,,,,,,,,,229.4217678665991,None,229.42171092587705,None,space,0.32871932017587824,229.4217678665991,None,229.77182344627727,None,5,229.77182344627727,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
54,0,54,0,,,,,,,,,,,,,234.77320769484868,None,234.77230289072213,235.02232558222386,space,0.3852695781715738,234.77320769484868,None,235.2056390056423,None,2,235.2056390056423,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
55,0,55,0,,,,,,,,,,,,,237.20555645052082,None,237.20555796774897,None,space,0.31291023759695236,237.20555645052082,None,237.54114301804293,None,5,237.54114301804293,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
56,0,56,0,,,,,,,,,,,,,242.54023223424883,None,242.54025561742856,242.79004536961656,space,0.30610144819365814,242.54023223424883,None,242.87333768569806,None,1,242.87333768569806,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
57,0,57,0,,,,,,,,,,,,,243.8748071668524,None,243.8743204932598,None,space,0.2992623142126831,243.8748071668524,None,244.20656719294857,None,5,244.20656719294857,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
58,0,58,0,,,,,,,,,,,,,249.20763326962333,None,249.20766870138868,249.45712957182332,space,0.32645552487883833,249.20763326962333,None,249.55738718842622,None,6,249.55738718842622,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
59,0,59,0,,,,,,,,,,,,,255.56065414000477,None,255.55902151207738,None,space,0.333861834857089,255.56065414000477,None,255.92674638664903,None,6,255.92674638664903,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
60,0,60,0,,,,,,,,,,,,,261.9274228924005,None,261.92713970602017,262.17717221489147,space,0.358809992474562,261.9274228924005,None,262.3141418707528,None,6,262.3141418707528,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
61,0,61,0,,,,,,,,,,,,,268.32942840172836,None,268.3284731720396,None,space,0.34883644134606584,268.32942840172836,None,268.69727483313545,None,2,268.69727483313545,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
62,0,62,0,,,,,,,,,,,,,270.712049076119,None,270.7118493373473,270.96185284036255,space,0.35799202740599867,270.712049076119,None,271.1118987811715,None,5,271.1118987811715,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
63,0,63,0,,,,,,,,,,,,,276.1122870133622,None,276.11199043966735,276.36265393740905,space,0.3098164286457177,276.1122870133622,None,276.463213661129,None,1,276.463213661129,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
64,0,64,0,,,,,,,,,,,,,277.4788429074215,None,277.47890466757417,277.72923392863595,space,0.3032749393423728,277.4788429074215,None,277.8159989147316,None,2,277.8159989147316,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
65,0,65,0,,,,,,,,,,,,,279.8204314553732,None,279.8188965548634,280.06890541280154,space,0.2976616373489378,279.8204314553732,None,280.1384007600427,None,1,280.1384007600427,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
66,0,66,0,,,,,,,,,,,,,281.1376010909771,None,281.1375387953285,281.3875012439021,space,0.29238881944547757,281.1376010909771,None,281.4567524957274,None,4,281.4567524957274,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
67,0,67,0,,,,,,,,,,,,,285.4570189033366,None,285.4569561614426,None,space,0.3247481957259879,285.4570189033366,None,285.80780676925133,None,2,285.80780676925133,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
68,0,68,0,,,,,,,,,,,,,287.8085390554879,None,287.80801534364764,288.05789791456846,space,0.32509448098790017,287.8085390554879,None,288.1575245422973,None,3,288.1575245422973,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
69,0,69,0,,,,,,,,,,,,,291.15979190754297,None,291.158243619715,291.40806327024256,space,0.614163692080183,291.15979190754297,None,291.80824855071114,None,4,291.80824855071114,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
